start_time,speed,age,gender
01-31 09:29:45,12.75,38,1
01-31 09:24:37,15.71,27,1
01-31 09:22:47,12.77,42,1
01-31 09:14:30,18.16,32,1
01-31 09:15:06,15.30,32,1
01-31 09:14:04,10.74,25,2
01-31 09:13:22,18.48,33,2
01-31 09:05:36,13.14,33,1
01-31 08:53:51,14.61,35,1
01-31 09:10:56,12.57,35,1
01-31 08:59:28,11.69,40,1
01-31 08:59:46,14.30,30,2
01-31 08:51:18,11.56,33,1
01-31 08:59:21,10.22,30,1
01-31 09:02:13,14.91,37,1
01-31 09:01:17,21.21,34,1
01-31 08:47:57,19.50,49,1
01-31 08:59:15,14.36,37,1
01-31 08:56:33,15.01,33,1
01-31 08:52:21,15.33,34,2
01-31 08:51:06,9.26,60,1
01-31 08:46:29,16.34,33,1
01-31 08:54:06,13.34,38,2
01-31 08:49:57,11.01,29,1
01-31 08:51:24,13.45,54,2
01-31 08:47:58,15.49,32,1
01-31 08:31:27,11.06,29,1
01-31 08:40:35,14.69,24,2
01-31 08:48:02,16.79,42,1
01-31 08:43:12,19.22,58,1
01-31 08:42:41,17.17,34,1
01-31 08:39:19,19.79,32,1
01-31 08:34:42,12.55,37,1
01-31 08:29:45,19.15,39,1
01-31 08:28:13,11.27,40,1
01-31 08:28:13,11.11,38,1
01-31 08:13:54,10.03,21,1
01-31 08:29:21,13.76,41,1
01-31 08:25:13,11.83,21,2
01-31 08:26:22,22.63,36,3
01-31 08:08:52,13.78,33,1
01-31 08:24:10,13.66,45,2
01-31 08:03:49,18.11,48,1
01-31 08:15:45,14.59,46,2
01-31 08:14:12,14.31,47,1
01-31 08:15:46,11.88,45,1
01-31 08:12:59,14.16,25,1
01-31 08:11:33,11.32,29,2
01-31 08:11:15,20.82,30,1
01-31 08:02:11,20.41,23,1
01-31 07:56:02,9.31,51,1
01-31 07:59:01,13.44,43,1
01-31 07:39:44,10.25,49,2
01-31 07:53:51,12.24,29,2
01-31 07:39:39,12.40,27,2
01-31 07:50:04,13.58,30,1
01-31 07:30:49,18.51,37,1
01-31 07:31:37,12.01,32,1
01-31 07:43:35,15.11,50,1
01-31 07:45:17,10.40,33,1
01-31 07:31:22,11.47,26,1
01-31 07:24:44,12.50,30,1
01-31 07:29:10,12.26,41,1
01-31 07:27:11,15.73,29,1
01-31 07:15:28,14.58,49,1
01-31 07:08:15,7.30,35,2
01-31 07:06:29,14.44,36,1
01-31 07:06:55,18.87,30,2
01-31 07:01:24,15.26,25,1
01-31 06:38:41,9.37,60,2
01-31 06:40:50,19.67,36,1
01-31 06:34:38,9.24,23,2
01-31 06:30:06,12.24,31,2
01-31 06:16:54,9.25,34,2
01-31 05:38:51,4.10,36,1
01-31 05:33:56,21.82,47,1
01-31 04:00:42,13.07,37,1
01-31 00:16:46,16.11,28,1
01-30 23:29:18,14.39,22,1
01-30 23:07:06,13.40,31,1
01-30 22:56:04,20.22,50,2
01-30 22:31:21,12.62,60,1
01-30 22:22:13,17.67,21,1
01-30 21:42:21,18.56,26,2
01-30 21:49:51,12.38,25,1
01-30 21:22:49,11.33,29,1
01-30 21:13:13,10.83,32,1
01-30 21:01:50,14.16,47,2
01-30 20:53:46,10.51,43,1
01-30 21:01:01,12.37,25,2
01-30 20:50:51,10.61,40,1
01-30 20:47:39,8.72,33,2
01-30 20:41:33,5.05,34,1
01-30 20:32:14,13.49,31,1
01-30 20:27:43,17.23,26,1
01-30 20:17:35,7.92,44,3
01-30 20:12:16,12.50,29,1
01-30 20:07:31,8.32,27,1
01-30 20:09:28,19.12,47,1
01-30 19:48:35,12.78,31,2
01-30 19:52:51,13.26,31,1
01-30 19:57:00,9.52,38,1
01-30 19:51:56,15.27,30,1
01-30 19:43:51,16.39,34,1
01-30 19:41:33,13.18,31,1
01-30 19:39:04,18.55,39,1
01-30 19:35:37,12.39,34,1
01-30 19:30:34,22.58,47,1
01-30 19:29:16,12.78,40,1
01-30 19:22:54,7.54,32,1
01-30 19:21:01,19.16,31,1
01-30 18:59:02,9.34,26,1
01-30 19:11:54,12.51,56,2
01-30 19:08:18,12.36,42,1
01-30 19:08:53,14.08,35,1
01-30 18:44:38,9.73,38,1
01-30 18:51:46,11.46,29,2
01-30 18:46:10,11.23,30,1
01-30 18:38:03,15.75,36,1
01-30 18:47:31,12.92,36,1
01-30 18:49:14,12.08,44,1
01-30 18:43:36,14.31,35,1
01-30 18:44:54,11.27,31,1
01-30 18:45:01,18.28,39,1
01-30 18:40:22,13.29,28,2
01-30 18:31:43,12.32,53,1
01-30 18:29:58,9.03,42,1
01-30 18:26:49,9.86,35,1
01-30 18:26:12,15.23,40,1
01-30 18:25:33,10.71,30,1
01-30 18:20:28,10.01,34,1
01-30 18:23:08,12.52,31,2
01-30 18:06:09,16.12,33,1
01-30 17:50:07,9.69,26,1
01-30 18:13:19,9.42,27,1
01-30 18:14:39,13.64,22,1
01-30 18:08:11,7.32,70,1
01-30 18:04:57,8.97,31,1
01-30 17:58:03,15.07,27,2
01-30 17:51:57,8.31,57,1
01-30 17:57:09,11.70,43,2
01-30 18:02:37,15.59,25,1
01-30 17:57:30,10.82,30,1
01-30 17:40:52,13.96,24,1
01-30 17:35:13,5.63,25,2
01-30 17:48:34,20.08,33,1
01-30 17:47:09,12.15,35,1
01-30 17:45:34,4.98,71,2
01-30 17:41:33,9.26,27,2
01-30 17:48:46,15.11,51,1
01-30 17:46:11,11.52,38,1
01-30 17:44:58,18.60,32,1
01-30 17:35:44,15.88,28,1
01-30 17:38:03,14.09,34,1
01-30 17:34:38,18.38,34,1
01-30 17:34:04,11.33,32,1
01-30 17:35:24,14.99,35,1
01-30 17:32:49,11.89,40,1
01-30 17:28:03,14.29,33,1
01-30 17:30:37,11.29,33,2
01-30 17:17:44,7.50,55,1
01-30 17:28:30,23.41,44,1
01-30 17:20:48,15.96,35,1
01-30 17:20:58,5.84,35,1
